site_id,name,address,district,state,latitude,longitude,gis_accuracy
S515,Achyut Bibi's Masjid & Tomb  ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S516,Ahmad Shah's Tomb,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S517,Ahmed Shah's Mosque ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S518,Astodia Gate,Ahmedabad,Ahmedabad,Gujarat,23.016842,72.590971,exact
S519,Baba Lalui's Masjid  ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S520,Bhadra Gate beside Bhadrakali Temple ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S521,Brick Minars,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S522,Dariya Khan's Tomb ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S523,Dariya Pur Gate,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S524,Dastur Khan's Masjid ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S525,Delhi Gate,Ahmedabad,Ahmedabad,Gujarat,23.037782,72.587952,exact
S526,Haibatkhan's Masjid ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S527,Inlet to Kankaria Tank ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S528,Jami Masjid ,Ahmedabad,Ahmedabad,Gujarat,22.485847,73.537423,approximate (name matched in Gujarat)
S529,Kalupur Gate,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S530,Kutub Shah's Mosque,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S531,Mata Bhavani's Well ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S532,Muhafiz Khan's Mosque,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S533,Nawab Sardar Khan Masjid and outer gate ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S534,Nawab Sardar Khan's Rouza,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S535,Panch Kuva Gate,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S536,Premabhai Gate,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S537,Queen's Mosque in Sarangpur ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S538,Raipur Gate,Ahmedabad,Ahmedabad,Gujarat,23.017436,72.594781,exact
S539,Rani Rupavati's Mosque,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S540,Rani Sipri's Mosque & Tomb  ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S541,Sarangpur Gate ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S542,Shah Alam's Tomb with all surrounding buildings,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S543,Shah Kupa Masjid ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S544,Sidi Bashir's Minar & Tomb (Shaking),Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S545,Sidi Saiyad's Mosque,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S546,Teen Darwaja or Tripolia Gate ,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
S547,The Shahpur Kazi Mohmad Chishti's Masjid,Ahmedabad,Ahmedabad,Gujarat,23.021537,72.580057,"approximate (area: Ahmedabad, Ahmedabad)"
