image_id,entity_type,entity_id,image_path,image_description
IMG651,structure,ST339,images/structures/ST339_Shikar_Madhi/img3.jpg,structure image
IMG652,structure,ST340,images/structures/ST340_Temple_with_stone_Inscription_(Kaleshwari_Mata_Temple)/img1.jpg,structure image
IMG653,structure,ST340,images/structures/ST340_Temple_with_stone_Inscription_(Kaleshwari_Mata_Temple)/img2.jpg,structure image
IMG654,structure,ST340,images/structures/ST340_Temple_with_stone_Inscription_(Kaleshwari_Mata_Temple)/img3.jpg,structure image
IMG655,structure,ST341,images/structures/ST341_Sasu_Ni_Vav/img1.jpg,structure image
IMG656,structure,ST341,images/structures/ST341_Sasu_Ni_Vav/img2.jpg,structure image
IMG657,structure,ST341,images/structures/ST341_Sasu_Ni_Vav/img3.jpg,structure image
IMG658,structure,ST342,images/structures/ST342_Ancient_temple_no1/img1.jpg,structure image
IMG659,structure,ST342,images/structures/ST342_Ancient_temple_no1/img2.jpg,structure image
IMG660,structure,ST342,images/structures/ST342_Ancient_temple_no1/img3.jpg,structure image
IMG661,structure,ST343,images/structures/ST343_Ancient_temple_no2/img1.jpg,structure image
IMG662,structure,ST343,images/structures/ST343_Ancient_temple_no2/img2.jpg,structure image
IMG663,structure,ST343,images/structures/ST343_Ancient_temple_no2/img3.jpg,structure image
IMG664,structure,ST344,images/structures/ST344_Ancient_temple_no3/img1.jpg,structure image
IMG665,structure,ST344,images/structures/ST344_Ancient_temple_no3/img2.jpg,structure image
IMG666,structure,ST344,images/structures/ST344_Ancient_temple_no3/img3.jpg,structure image
IMG667,structure,ST345,images/structures/ST345_Gebanshah_Vav_with_Steps/img1.jpg,structure image
IMG668,structure,ST345,images/structures/ST345_Gebanshah_Vav_with_Steps/img2.jpg,structure image
IMG669,structure,ST345,images/structures/ST345_Gebanshah_Vav_with_Steps/img3.jpg,structure image
IMG670,structure,ST346,images/structures/ST346_Vanzari_Vav/img1.jpg,structure image
IMG671,structure,ST346,images/structures/ST346_Vanzari_Vav/img2.jpg,structure image
IMG672,structure,ST346,images/structures/ST346_Vanzari_Vav/img3.jpg,structure image
IMG673,structure,ST347,images/structures/ST347_Group_of_temples/img1.jpg,structure image
IMG674,structure,ST347,images/structures/ST347_Group_of_temples/img2.jpg,structure image
IMG675,structure,ST347,images/structures/ST347_Group_of_temples/img3.jpg,structure image
IMG676,structure,ST348,images/structures/ST348_Pavagadh_Killa/img1.jpg,structure image
IMG677,structure,ST348,images/structures/ST348_Pavagadh_Killa/img2.jpg,structure image
IMG678,structure,ST348,images/structures/ST348_Pavagadh_Killa/img3.jpg,structure image
IMG679,structure,ST349,images/structures/ST349_Machi_Killa/img1.jpg,structure image
IMG680,structure,ST349,images/structures/ST349_Machi_Killa/img2.jpg,structure image
IMG681,structure,ST349,images/structures/ST349_Machi_Killa/img3.jpg,structure image
IMG682,structure,ST350,images/structures/ST350_Bavaman_Killa/img1.jpg,structure image
IMG683,structure,ST350,images/structures/ST350_Bavaman_Killa/img2.jpg,structure image
IMG684,structure,ST350,images/structures/ST350_Bavaman_Killa/img3.jpg,structure image
IMG685,structure,ST351,images/structures/ST351_Khuneshwar_Killa/img1.jpg,structure image
IMG686,structure,ST351,images/structures/ST351_Khuneshwar_Killa/img2.jpg,structure image
IMG687,structure,ST351,images/structures/ST351_Khuneshwar_Killa/img3.jpg,structure image
IMG688,structure,ST352,images/structures/ST352_Killa_at_Shikar_Bari_and_Ulan_Julan_ki_Chowki/img1.jpg,structure image
IMG689,structure,ST352,images/structures/ST352_Killa_at_Shikar_Bari_and_Ulan_Julan_ki_Chowki/img2.jpg,structure image
IMG690,structure,ST352,images/structures/ST352_Killa_at_Shikar_Bari_and_Ulan_Julan_ki_Chowki/img3.jpg,structure image
IMG691,structure,ST353,images/structures/ST353_Malik_Nagar_ni_Haveli/img1.jpg,structure image
IMG692,structure,ST353,images/structures/ST353_Malik_Nagar_ni_Haveli/img2.jpg,structure image
IMG693,structure,ST353,images/structures/ST353_Malik_Nagar_ni_Haveli/img3.jpg,structure image
IMG694,structure,ST354,images/structures/ST354_Gadi_Kundal_Darwaza/img1.jpg,structure image
IMG695,structure,ST354,images/structures/ST354_Gadi_Kundal_Darwaza/img2.jpg,structure image
IMG696,structure,ST354,images/structures/ST354_Gadi_Kundal_Darwaza/img3.jpg,structure image
IMG697,structure,ST355,images/structures/ST355_Jai_Singh_no_Mahal/img1.jpg,structure image
IMG698,structure,ST355,images/structures/ST355_Jai_Singh_no_Mahal/img2.jpg,structure image
IMG699,structure,ST355,images/structures/ST355_Jai_Singh_no_Mahal/img3.jpg,structure image
IMG700,structure,ST356,images/structures/ST356_Senapati_Ni_Kothi/img1.jpg,structure image
IMG701,structure,ST356,images/structures/ST356_Senapati_Ni_Kothi/img2.jpg,structure image
IMG702,structure,ST356,images/structures/ST356_Senapati_Ni_Kothi/img3.jpg,structure image
IMG703,structure,ST357,images/structures/ST357_Pavilion_on_Medhi_Talav/img1.jpg,structure image
IMG704,structure,ST357,images/structures/ST357_Pavilion_on_Medhi_Talav/img2.jpg,structure image
IMG705,structure,ST357,images/structures/ST357_Pavilion_on_Medhi_Talav/img3.jpg,structure image
IMG706,structure,ST358,images/structures/ST358_Masjid_in_Front_of_Machi_Haveli/img1.jpg,structure image
IMG707,structure,ST358,images/structures/ST358_Masjid_in_Front_of_Machi_Haveli/img2.jpg,structure image
IMG708,structure,ST358,images/structures/ST358_Masjid_in_Front_of_Machi_Haveli/img3.jpg,structure image
IMG709,structure,ST359,images/structures/ST359_Maratha_no_Mahal/img1.jpg,structure image
IMG710,structure,ST359,images/structures/ST359_Maratha_no_Mahal/img2.jpg,structure image
IMG711,structure,ST359,images/structures/ST359_Maratha_no_Mahal/img3.jpg,structure image
IMG712,structure,ST360,images/structures/ST360_Rani_no_Mahal/img1.jpg,structure image
IMG713,structure,ST360,images/structures/ST360_Rani_no_Mahal/img2.jpg,structure image
IMG714,structure,ST360,images/structures/ST360_Rani_no_Mahal/img3.jpg,structure image
IMG715,structure,ST361,images/structures/ST361_Bandh/img1.jpg,structure image
IMG716,structure,ST361,images/structures/ST361_Bandh/img2.jpg,structure image
IMG717,structure,ST361,images/structures/ST361_Bandh/img3.jpg,structure image
IMG718,structure,ST362,images/structures/ST362_Lila_Gumbaj_Pase_ni_Kothi/img1.jpg,structure image
IMG719,structure,ST362,images/structures/ST362_Lila_Gumbaj_Pase_ni_Kothi/img2.jpg,structure image
IMG720,structure,ST362,images/structures/ST362_Lila_Gumbaj_Pase_ni_Kothi/img3.jpg,structure image
IMG721,structure,ST363,images/structures/ST363_Bhangelu_Deru/img1.jpg,structure image
IMG722,structure,ST363,images/structures/ST363_Bhangelu_Deru/img2.jpg,structure image
IMG723,structure,ST363,images/structures/ST363_Bhangelu_Deru/img3.jpg,structure image
IMG724,structure,ST364,images/structures/ST364_Chhatris_Thambla_Nu_Bhoyneru/img1.jpg,structure image
IMG725,structure,ST364,images/structures/ST364_Chhatris_Thambla_Nu_Bhoyneru/img2.jpg,structure image
IMG726,structure,ST364,images/structures/ST364_Chhatris_Thambla_Nu_Bhoyneru/img3.jpg,structure image
IMG727,structure,ST365,images/structures/ST365_Zare-e-Zamin/img1.jpg,structure image
IMG728,structure,ST365,images/structures/ST365_Zare-e-Zamin/img2.jpg,structure image
IMG729,structure,ST365,images/structures/ST365_Zare-e-Zamin/img3.jpg,structure image
IMG730,structure,ST366,images/structures/ST366_Pavilion_South_of_Jami_Masjid/img1.jpg,structure image
IMG731,structure,ST366,images/structures/ST366_Pavilion_South_of_Jami_Masjid/img2.jpg,structure image
IMG732,structure,ST366,images/structures/ST366_Pavilion_South_of_Jami_Masjid/img3.jpg,structure image
IMG733,structure,ST367,images/structures/ST367_Iteri_Masjid_and_Building_near_to_it/img1.jpg,structure image
IMG734,structure,ST367,images/structures/ST367_Iteri_Masjid_and_Building_near_to_it/img2.jpg,structure image
IMG735,structure,ST367,images/structures/ST367_Iteri_Masjid_and_Building_near_to_it/img3.jpg,structure image
IMG736,structure,ST368,images/structures/ST368_Sainiki_Masjid/img1.jpg,structure image
IMG737,structure,ST368,images/structures/ST368_Sainiki_Masjid/img2.jpg,structure image
